Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
clojure,closure
clojurescript,closure script
clj
cljs
lisp
repl
tbsh
osx
gtd 
tmem
macbook,mack book 
wacom,welcome tea
wacom,wacom tea
wacom,wacom te
wacom,tablet wacom
wacom,tablet welcome
wacom tablet,welcome tablet
roam, roam research
roam, rome research
roam, roam notes
roam, rome notes
talon,tea voice
talon,talent voice
talon,tale in voice
talon,talon voice
talon,tallin voice
talon,tell in voice
talon,tellin voice
talon,tee voice

htmx
html
vscode, vs code
vscode, visual studio code
vscode, microsoft code
vscode, vee ess code
vscode's,vscodes
vocab
cursorless,cursor less
calva
calva's,calvas
parinfer
parinfer's,parinfers
intellij
intellij's,intellijs
sku
skus
scroll
Rango
Rango's,Rangos
raycast
raycast's,raycasts
api
gaze
config
deps
groundedsol
groundedsol's,groundedsols
localhost, local host
snippet
user
fourp
fourp's,fourps
json, jason
bb
rainshadow
ocr
breadcrumb
artboard
gmail
shortcat
ui, you eye
Lauren
Lauren's,Laurens
Doug
Doug's,Dougs
mertonon
mertonon's,mertonons
paredit
css
hoplon
variants
rango
rango's,rangos
applescript
hammerspoon
hammerspoon's,hammerspoons
rasterize
