URL,Spoken name
http://talonvoice.com,talon home page
http://talonvoice.slack.com/messages/help,talon slack
https://talon.wiki/,talon wiki
https://chaosparrot.github.io/talon_practice/,talon practice
https://search.talonvoice.com/search/,talon repository search
https://www.amazon.com/,amazon
https://dropbox.com/,dropbox
https://www.google.com/,google
https://calendar.google.com,google calendar
https://maps.google.com/,google maps
https://scholar.google.com/,google scholar  
https://mail.google.com/,gmail
https://github.com/,github
https://gist.github.com/,gist
https://en.wikipedia.org/,wikipedia
https://www.youtube.com/,youtube

#gb 

https://getbitoutdoors.com/, get bit home
https://getbitoutdoors.com/blanks/, get bit blanks
https://getbitoutdoors.com/rainshadow/, get bit rain shadow blanks

http://localhost:3000/best-of-2020/, get bit local home
http://localhost:3000/best-of-2020/, get bit local
http://localhost:3000/best-of-2020/, get bit home local


https://store-7hstasnrjg.mybigcommerce.com/manage/products/categories, big commerce cats
https://store-7hstasnrjg.mybigcommerce.com/manage/products/categories, categories
https://store-7hstasnrjg.mybigcommerce.com/manage/products/categories, bc categories
https://store-7hstasnrjg.mybigcommerce.com/manage/products/pricelists/1/edit, wholesale list
https://store-7hstasnrjg.mybigcommerce.com/manage/products, bc products
https://store-7hstasnrjg.mybigcommerce.com/manage/products, big commerce products


https://app.constantcontact.com/pages/campaigns/view/list, constant contact campaigns

https://batsonenterprises.com/products, batson site 
https://batsonenterprises.com/products, batson site categories 
https://batsonenterprises.com, batson home


https://www.4psitelink.com/reports/invStatus.php, fourp inventory
https://www.4psitelink.com/backoffice/loadInv.php, fourp inventory import
https://www.4psitelink.com/backoffice/loadInv.php, fourp inventory export

https://app.constantcontact.com/pages/campaigns/view/list, constant contact
https://app.constantcontact.com/pages/campaigns/view/calendar/month, constant contact calendar
https://app.constantcontact.com/pages/campaigns/email-hub, constant contact   campaigns

https://nerdcave.com/tailwind-cheat-sheet, tail wind reference


https://www.cursorless.org/docs/, cursorless docs
https://www.cursorless.org/cheatsheet, cursorless reference
https://www.cursorless.org/cheatsheet, cursorless cheat sheet
https://www.cursorless.org/cheatsheet, cursor less cheat sheet
https://www.cursorless.org/cheatsheet, cursor list cheat sheet
https://voicelauncherblazor.azurewebsites.net/cursorlesscheatsheetitems, cursorless interactive cheatsheet
https://voicelauncherblazor.azurewebsites.net/cursorlesscheatsheetitems, cursor less interactive cheatsheet
https://voicelauncherblazor.azurewebsites.net/cursorlesscheatsheetitems, cursor list interactive cheatsheet

https://nerdcave.com/tailwind-cheat-sheet, tailwind cheatsheet

